Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
42,1.0,0.3643,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",pay enablers catalysts myriad mobile supplyside ways device future bank
43,3.0,0.4346,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",swift bank innovation gpi look needs corporates collaboration customersthis demanding
44,7.0,0.3697,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",differentiation bank analytics describes experiences processing interplay commoditisation transformation consequence
45,8.0,0.3252,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",bank agreement definition dynamics institution liabilities clients token monies mechanism
46,3.0,0.3719,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank innovation contribute distribution cycle automation fact confidence secure banknote
47,5.0,0.422,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card interchange fees bank losses involvement forecasts observations increases assesses
48,5.0,0.4825,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",alipay online debit pointofsale ecommerce examples retailers scale dominance sample
49,5.0,0.8312,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card credit merchant canada show fees calculates indifferent indifference testthe
50,2.0,0.7296,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",fraud transaction cent detection analytics category online performance patterns highperformance
51,6.0,0.4089,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",account innovation eba objectives aim inter immense stock eyes authority
52,1.0,0.5164,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",smes eu technology protection gdpr employment innovation supervision appropriate duty
53,7.0,0.69,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",remittance channels enhance remittances framework bank lesotho interoperability argues preference
54,1.0,0.3795,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",technology currency bank communities memory interfaces scenario cryptocurrency reasons issuers
55,6.0,0.4875,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",bank channel innovation internet protection steps apple power regions smartphone
56,5.0,0.2969,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card afford movement focuses communication suffice theories arbitrage likewise fosters
57,8.0,0.6531,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",blockchain asset viability cryptocurrencies structure foundation complexities property register token
58,8.0,0.6151,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",asset transaction currency dlt account technology liquidity bank combination sides
59,9.0,0.4132,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",giants millions expansion history nature finance future consumption forays china
60,1.0,0.3489,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bank idpasswords merchants identification breaches news argues frustration countless passwords
61,6.0,0.427,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",accesstotheaccount digital increases online merchants psd2 authorisation conditions stipulations interaction
62,1.0,0.4092,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",identities sellers challenge partners government understand agencies tool declarations digital
63,7.0,0.2685,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",clearing lesotho stability address facilitate investment respond processesto needs date
64,4.0,0.2637,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",cbdc bank theory opens decision form require embrace need statute
65,5.0,0.3435,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",zengin japans technology place provision launch fund zedi message december
66,4.0,0.3775,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",capital operate argues eu fact facebooks regard guise seeks embodies
67,3.0,0.552,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",versus side pools messages aribapay culmination characterise proprietaryclosedloop forward insight
68,5.0,0.3535,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",interchange eu fee firm plans departure ifr topics marketsthis factor
69,7.0,0.3572,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",rtgs argues describes ubiquity provide speed transfers safety infrastructure instant
70,3.0,0.7368,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",identification lei migration life cycle identifier community processes help group
71,6.0,0.7832,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",software fintech distribution wave become core capitalise merchants capture acquirers
72,6.0,0.4905,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",fintech b2b future partner drive explores lack needs businesstobusiness investment
73,3.0,0.3438,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank society culture entrants cuttingedge appeal todaythis convergence catalyst clients
74,5.0,0.83,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",sct inst transfer scheme credit months council progress sepa arbitrage
75,9.0,0.7125,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",transaction preference bank period measure line provision investment reserve debit
76,2.0,0.3395,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",ai handle perspective extent ground overview tool problems intelligence become
77,8.0,0.5312,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",dlt technology components shifts designs ends fragmentation traction literacy platformisation
78,5.0,0.5731,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card cartel prices mifs problems fees schemes visa mastercard demise
79,3.0,0.7181,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",migration standard variation innovation swifts crossborder strategy transforms article purpose
80,5.0,0.3535,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card fuel kai alternative regions charges diesel petrol margin profit
81,3.0,0.4401,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank consolidation project migration security target2 iso liquidity platforms euro
82,2.0,0.7027,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",fraud security prevention availability instant netherlands increase describes yearsthe jointlywith
83,3.0,0.5634,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank identify identification codes interbank benefit automation lei identifiers capabilities
84,7.0,0.3306,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",xs2a bank framework schemes innovation online standardisation interoperability evolution require
85,0.0,0.668,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",house man usa moment rtp countrys vice insights president improvements
86,9.0,0.7276,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",gdp rtgs forecasts india enhance months reserve performance arimatype construct
87,4.0,0.384,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",bank demands react sensitivities technology language readers declarations buyers sellers
88,5.0,0.3799,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",currency cbdc bank convenient card substitutes travel machine contrast assess
89,8.0,0.6098,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",ecash bank argues possibility create launch edge distortion deposit knowyourcustomer
90,7.0,0.4278,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",bank transaction technology processes innovation interest speed deliver experiences clients
91,5.0,0.3123,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",cryptoasset simple brief compare ethereum taxonomies transfer explores exploration iso
92,6.0,0.6166,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",account transaction fintech report play reports highlight heart essence infrastructure
93,9.0,0.6074,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",bank rtgs psps beneficiaries extent decades grant merits agencies provision
94,5.0,0.3455,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card technology guidelines activities centres comply adjustments emergency situations programmes
95,7.0,0.2746,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",india bank evolution reserve digital drive transfer increase describes shows
96,1.0,0.2987,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",currency bank beta online highlights idea database generation studies observation
97,8.0,0.7723,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",schemes bank choices enables create leverage usage option elements promote
98,6.0,0.3203,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",literature banknotes denomination reduces explanations puzzle evidence interest apace fosters
99,6.0,0.4477,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",bank relationships society advantage face capitalise medium routes play help
100,3.0,0.5043,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",leis sets bring barriers plans describes steps offer wider programme
101,7.0,0.5443,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",framework movement paths outlines vision boost path regarding reviews proposes
102,8.0,0.6192,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",currency technology power bank kinds phones shifts plates hash hegemony
103,8.0,0.6584,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",currency bank prospects rights technology reserve blockchain cryptocurrencies claims asset
104,5.0,0.3861,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",bank platforms platform feedback components side scope propensity hence explores
105,8.0,0.3623,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",closedloop investigates attempts addresses barriers enhance outcomes jordan ran processesto
106,7.0,0.7496,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",infrastructure realtime innovation leverage codes hence drive date faster cusses
107,2.0,0.7524,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",quantum threats experts intelligence understanding maintain respond processesthis continue managers
108,4.0,0.5339,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",premature finds reports stipulations arbitrage likewise fosters ran processesto declarations
109,7.0,0.365,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",mix pandemic covid19 theme homes needs mean behaviours lockdown met
110,5.0,0.8317,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",inst sepa credit sct transfer council instant everyone days seconds
111,0.0,0.5733,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",zelle rtp americans observations house offers president clearing utilise realtime
112,4.0,0.7117,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",activities risk frameworks certainty licensing identifying fourstep entities framework experiences
113,8.0,0.4536,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",bank create power constrain perspective explains understand monies play literature
114,1.0,0.4272,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",transformation origins evolution describes debate driver key geopolitical thing asset
115,6.0,0.5259,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",bank uncertainty psd2 initiation opens account fintech future gravity bankers
116,4.0,0.6543,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",epayments focuses governments arrangements utilises governance layering countrys place regulations
117,6.0,0.5216,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",advantages public briefly sweden india disadvantages crime interest examples explores
118,9.0,0.426,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",bank bni multibanco retail segments brand specifics europa talks challenger
119,5.0,0.4623,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",platforms shift merchants comment become schemes reality device opinion plastic
120,1.0,0.625,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bank ecosystem proposes uses apis set constructs expansion barriers candidates
121,7.0,0.7801,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",framework describes faster realtime helpful formats momentum immediate message implement
122,7.0,0.3572,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",agenda instant decade sovereignty latter interoperability topic mechanisms fee drive
123,2.0,0.6114,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",fraud interventions transaction tools potential channels focuses mechanisms source history
124,4.0,0.3845,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",asset risk bank framework discuss streams staff todays blockchain demands
125,4.0,0.5172,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",fmis forwardlooking conduct infrastructure bank pandemic monitor crisis stability highlights
126,7.0,0.3806,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",endeavours processes details asset experiences beset function fintech accesstotheaccount likewise
127,6.0,0.3921,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",account insights bank holders create eu ways choices economics investors
128,9.0,0.3232,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",cashless adopt reluctance occupation category gender incentives income offers education
129,2.0,0.5336,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",sequences transaction codecash amount offers option clients losses device combat
130,5.0,0.598,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",scheme psps sct euro realtime council testament schemes benefit mass
131,1.0,0.5896,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",currency pay create innovation maturity journey secure building decade means
132,1.0,0.5506,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bank regulations psd2 ecosystem recognition insha solarisbank europethe unions concept
133,7.0,0.2201,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",bank infrastructure explores optimise regulator unlocking reasons involvement maintain examination
134,6.0,0.328,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",merchants line propensity finds explores transactions persontoperson advance strategy informality
135,7.0,0.4794,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",card ie increase core modernisation domains transact enabling efforts collection
136,5.0,0.453,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card surpass public propositions instant ground substitute latter barriers transaction
137,7.0,0.4278,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",rulebook pix availability structure safety fee governance engagement usability participation
138,4.0,0.59,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",bank parameters ips style structures identifies technology turkey inhouse coordination
139,9.0,0.5475,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",transition habits card reserve segments conclusions consumption patterns population philadelphia
140,0.0,0.8125,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",vs euro innovation perspectives exception mind plan stay decades voice
141,5.0,0.5731,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",psps extension merchant clients ecommerce illustration simplify prospects share gauges
142,0.0,0.5354,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",bank cbdc privacy challenge publics broker mandates fulfilling guaranteeing regard
143,5.0,0.7426,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",scheme turn epi card debit initiative sovereignty supplement millennium describes
144,6.0,0.3258,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",transaction fees explores source principles bank situation security legislator fosters
145,1.0,0.8268,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bill pay hence person profile making income bills online set
146,3.0,0.629,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank correspondent situation risk relationships reserve dollar needs determine intervention
147,6.0,0.5118,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",device transaction capabilities bank offline cbdc wallet smartphone payer versa
148,1.0,0.5432,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",players empowerment divide hold take phenomenon capitalthis impediments businesstobusiness standalone
149,9.0,0.5101,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",spring summer holdings autumn reserve everyone person amounts hurricanes unemployment
150,6.0,0.3768,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",euro currency bank report blueprint principles cbdc idea schemes initiative
151,7.0,0.6084,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",infrastructure technology risk regions efforts processesto communication buyers sellers purposes
152,2.0,0.5627,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",losses frameworks attacks liability fraud guidance marketplace accordance globe governance
153,1.0,0.8153,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bank transformation secure roadmap players journey argues trust techs digital
154,1.0,0.4741,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",retailers platform peoples livelihoods technology step countrys journey modes cashless
155,1.0,0.5146,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",innovation transformation policymakers explores waves gains consideration nature dynamics intervention
156,5.0,0.3925,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",june ecommerce collapse wirecard psp provider ran processesto declarations customs
157,7.0,0.3697,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",innovation smes retailers firm speed attention position leverage thirdparty mode
158,7.0,0.4186,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",fintech students solve pain peertopeer student safety persontobusinessuniversity education maps
159,0.0,0.3607,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",currency bank sovereign proposal preserve facebooks focuses china choices stablecoins
160,1.0,0.794,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",apple proximity pay technology differences germany perception nonusers insights identify
161,6.0,0.2738,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",currency token overhaul schemes crossroads hundreds inches column crypto evaluate
162,6.0,0.7107,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",wallet technology job indonesia combines predict subjective norms devise tam2
163,8.0,0.6961,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",currency bank claims monies issuers addresses form compares facilitate provision
