label,term,tf-idf
[[분석과 전망] '헥시트' 이후 시나리오 준비돼 있나]1,홍콩,0.1792992354590972
"[""거래효율성 제고 노력 중"" 머스크 한 마디에 도지코인 급등]1",도지,0.17626730468422214
[카드 결제 잔돈으로 적금·보험 들고 주식투자]1,잔돈,0.17595913714101566
"[㈜코스터네트웍스와 손잡은 태국 네온화이트, 한방화장품 제조사 ㈜백옥생과 업무제휴 체결]1",네온,0.17567587597175827
"[퍼블리시, IT솔루션 기업 ‘링크룩스’에 전략적 투자로 글로벌 확장 진행]1",퍼블리시,0.1754401476497657
"[신라면세점, 3차 재고 판매에 이베이가 백기사 자처한 이유는]1",신라,0.17487493842221197
"[펀디엑스, 지급결제 시스템 업체 인제니코와 암호화폐 결제 협약 체결]1",펀디,0.1739046688783125
"[韓 4대 암호화폐 거래소, 비트코인 피자데이 맞아 ""피자 쏩니다""]1",피자,0.17389191301352533
['사라지는 수표'…5만원권·인터넷뱅킹에 밀려]1,앞수표,0.17332172167584767
"[""1%의 대형단체가 후원금 99% 독식.. 블록체인으로 기부문화 틀 바꾸겠다""]1",기부,0.17285746743248406
"[롯데건설·코리아세븐, 만기 전 착실히 차환 준비…회사채 발행]1",회사채,0.17254505710878246
[디지털화폐(CBDC) 성장하면 블록체인 뜬다?]1,시비,0.1723750202776125
"[쿠콘, `코리아 핀테크 위크` 참가…""마이데이터 기업 위한 서비스 선봬""]1",콘,0.17198506682957193
[[포커스] 의정부사랑카드 전성시대 개막…판매고 ‘쑥쑥’]1,의정부,0.1715325770101602
[신용카드·간편결제 활성화에 종이지폐 유통기간 늘었다]1,수명,0.1705347308403055
[[이슈+] '배신의 민족' 된 배민…사장님들 뿔난 진짜 이유]1,배민,0.1699547429128884
"[카카오뱅크 ""990원씩 한 달이면 3만원…저금통으로 소확행""]1",저금통,0.1698926059029896
[[기고] 한·아세안 금융협력의 현재와 미래]1,아세안,0.16976822719981843
"[결제솔루션 기업 '세틀뱅크', ""젊은 플랫폼으로 새 도약""]1",라드,0.16968920505045804
"[공정위, 휴대폰 소액결제 업체 '연체 가산금 담합' 제재 착수]1",가산금,0.16968168597797123
[캄보디아에 한국 기술로 은행 지급결제 시스템 구축]1,캄보디아,0.1695281373034352
"[이포넷- WTIT, 블록체인 기반 기부 플랫폼 ‘체리’ 사업 제휴]1",체리,0.16913787531681015
"[이바돔감자탕, 창립26주년 멤버십 이벤트 풍성하게]1",이바돔,0.16890896022264668
[`율곡이이` 5천원권 유통수명 43개월 가장 짧아]1,수명,0.16834123855349972
"[세븐스프링스, 방학과 휴가철 맞아 다양한 프로모션 실시]1",프링스,0.16798150920994204
"[세븐스프링스, 방학과 휴가철 맞아 다양한 프로모션 실시]1",세븐스,0.16798150920994204
[[2018 지급결제보고서]자기앞수표 사용비중 건수기준 1%이하로 하락 ]1,앞수표,0.16744385459292763
"[이탈리아 지급결제회사 넥시, 덴마크 동종업체 80억弗 인수 협상]1",네츠,0.16731035806834121
"[페이팔, 日 선구매후지불 업체 페이디 3조원대에 인수]1",페이디,0.16730499847115765
[마스터카드도 선구매 후지불 시장 뛰어들어]1,후지,0.16729702442391614
[[신SW상품대상추천작]페이콕 '페이콕 ver3.46']1,콕,0.167128988692254
"[트래블월렛, 시리즈B 투자 유치…""기업가치 1000억원 달성""]1",트래블,0.16679887085295353
