Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
25,8.0,0.4921,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",transaction goal india digital statistics rogers curve taxation strengthening government
26,6.0,0.3348,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",transaction liberalisation yugoslav republics volumes neighbouring interconnectivity balkans challenge balkan
27,6.0,0.4258,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",transport gap businesstobusiness functionality enhancement mobile studies lack form kinds
28,6.0,0.5192,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",china government share key interfaces education size pointofsale cashless influences
29,8.0,0.5188,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",consumption gdp card transition zandi debit kuwait penetration focuses percentage
30,1.0,0.7212,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",resolution continuity phase functions bank events risk actions improvements extent
31,7.0,0.4367,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",bank sales challenge transition analyses processes interest worldwide interface plays
32,1.0,0.5193,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",bonds japan government bank exchange innovation understand shortening introduce delivery
33,8.0,0.5889,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",m2m machines behalf machinetomachine images dlt consideration opinion worth tolls
34,6.0,0.4564,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",tips paneuropean citizens futureproof incentive facilitates develop deals bank infrastructure
35,5.0,0.4387,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",processing instant infrastructure euro aim sepa layer check transfer present
36,3.0,0.7186,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",swift gpi innovation standard treasury suggestions roches deutsche solutionthis story
37,9.0,0.5388,"online, create, secure, explores, argues, eu, form, need, crime, trust",digitisation roadmap side projects flexibility knowhow ideas bring functionality watch
38,0.0,0.4928,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",psd2 bank platform keystone transform interconnection enhancement protection legislation integration
39,3.0,0.6446,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank lei diligence correspondent swift tackles processes causes embrace locations
40,7.0,0.2821,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",technology modalities biometrics capture challenge today face tool authentication inperson
41,7.0,0.5685,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",transaction government sales players interest purchases directive viewpoints uniform pay
42,0.0,0.7088,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",pay enablers catalysts myriad mobile supplyside ways device future bank
43,3.0,0.5122,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",swift bank innovation gpi look needs corporates collaboration customersthis demanding
44,1.0,0.3655,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",differentiation bank analytics describes experiences processing interplay commoditisation transformation consequence
45,9.0,0.437,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank agreement definition dynamics institution liabilities clients token monies mechanism
46,2.0,0.5685,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",bank innovation contribute distribution cycle automation fact confidence secure banknote
47,6.0,0.4873,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card interchange fees bank losses involvement forecasts observations increases assesses
48,6.0,0.4887,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",alipay online debit pointofsale ecommerce examples retailers scale dominance sample
49,6.0,0.8418,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card credit merchant canada show fees calculates indifferent indifference testthe
50,4.0,0.7336,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",fraud transaction cent detection analytics category online performance patterns highperformance
51,0.0,0.6721,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",account innovation eba objectives aim inter immense stock eyes authority
52,7.0,0.5784,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",smes eu technology protection gdpr employment innovation supervision appropriate duty
53,8.0,0.7302,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",remittance channels enhance remittances framework bank lesotho interoperability argues preference
54,0.0,0.3926,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",technology currency bank communities memory interfaces scenario cryptocurrency reasons issuers
55,0.0,0.5456,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",bank channel innovation internet protection steps apple power regions smartphone
56,6.0,0.3179,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card afford movement focuses communication suffice theories arbitrage likewise fosters
57,2.0,0.5178,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",blockchain asset viability cryptocurrencies structure foundation complexities property register token
58,2.0,0.7071,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",asset transaction currency dlt account technology liquidity bank combination sides
59,0.0,0.5367,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",giants millions expansion history nature finance future consumption forays china
60,9.0,0.294,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank idpasswords merchants identification breaches news argues frustration countless passwords
61,0.0,0.3351,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",accesstotheaccount digital increases online merchants psd2 authorisation conditions stipulations interaction
62,7.0,0.5314,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",identities sellers challenge partners government understand agencies tool declarations digital
63,1.0,0.3884,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",clearing lesotho stability address facilitate investment respond processesto needs date
64,9.0,0.4374,"online, create, secure, explores, argues, eu, form, need, crime, trust",cbdc bank theory opens decision form require embrace need statute
65,3.0,0.4693,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",zengin japans technology place provision launch fund zedi message december
66,9.0,0.5702,"online, create, secure, explores, argues, eu, form, need, crime, trust",capital operate argues eu fact facebooks regard guise seeks embodies
67,7.0,0.4882,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",versus side pools messages aribapay culmination characterise proprietaryclosedloop forward insight
68,7.0,0.3723,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",interchange eu fee firm plans departure ifr topics marketsthis factor
69,5.0,0.4406,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",rtgs argues describes ubiquity provide speed transfers safety infrastructure instant
70,2.0,0.5499,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",identification lei migration life cycle identifier community processes help group
71,0.0,0.5142,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",software fintech distribution wave become core capitalise merchants capture acquirers
72,0.0,0.5729,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",fintech b2b future partner drive explores lack needs businesstobusiness investment
73,3.0,0.4946,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank society culture entrants cuttingedge appeal todaythis convergence catalyst clients
74,5.0,0.8506,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",sct inst transfer scheme credit months council progress sepa arbitrage
75,8.0,0.5902,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",transaction preference bank period measure line provision investment reserve debit
76,0.0,0.2849,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",ai handle perspective extent ground overview tool problems intelligence become
77,2.0,0.5355,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",dlt technology components shifts designs ends fragmentation traction literacy platformisation
78,6.0,0.4763,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card cartel prices mifs problems fees schemes visa mastercard demise
79,3.0,0.7496,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",migration standard variation innovation swifts crossborder strategy transforms article purpose
80,6.0,0.5895,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card fuel kai alternative regions charges diesel petrol margin profit
81,3.0,0.5456,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank consolidation project migration security target2 iso liquidity platforms euro
82,4.0,0.6083,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",fraud security prevention availability instant netherlands increase describes yearsthe jointlywith
83,0.0,0.3652,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",bank identify identification codes interbank benefit automation lei identifiers capabilities
84,7.0,0.334,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",xs2a bank framework schemes innovation online standardisation interoperability evolution require
85,1.0,0.8519,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",house man usa moment rtp countrys vice insights president improvements
86,8.0,0.5645,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",gdp rtgs forecasts india enhance months reserve performance arimatype construct
87,3.0,0.4832,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank demands react sensitivities technology language readers declarations buyers sellers
88,9.0,0.2932,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency cbdc bank convenient card substitutes travel machine contrast assess
89,9.0,0.6861,"online, create, secure, explores, argues, eu, form, need, crime, trust",ecash bank argues possibility create launch edge distortion deposit knowyourcustomer
90,2.0,0.4226,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",bank transaction technology processes innovation interest speed deliver experiences clients
91,5.0,0.4822,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",cryptoasset simple brief compare ethereum taxonomies transfer explores exploration iso
92,0.0,0.5673,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",account transaction fintech report play reports highlight heart essence infrastructure
93,5.0,0.5614,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",bank rtgs psps beneficiaries extent decades grant merits agencies provision
94,6.0,0.492,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card technology guidelines activities centres comply adjustments emergency situations programmes
95,8.0,0.4532,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",india bank evolution reserve digital drive transfer increase describes shows
96,9.0,0.4941,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency bank beta online highlights idea database generation studies observation
97,9.0,0.4354,"online, create, secure, explores, argues, eu, form, need, crime, trust",schemes bank choices enables create leverage usage option elements promote
98,3.0,0.3602,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",literature banknotes denomination reduces explanations puzzle evidence interest apace fosters
99,2.0,0.3796,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",bank relationships society advantage face capitalise medium routes play help
100,3.0,0.4725,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",leis sets bring barriers plans describes steps offer wider programme
101,8.0,0.7702,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",framework movement paths outlines vision boost path regarding reviews proposes
102,9.0,0.5252,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency technology power bank kinds phones shifts plates hash hegemony
103,9.0,0.3635,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency bank prospects rights technology reserve blockchain cryptocurrencies claims asset
104,1.0,0.4017,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",bank platforms platform feedback components side scope propensity hence explores
105,8.0,0.7702,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",closedloop investigates attempts addresses barriers enhance outcomes jordan ran processesto
106,1.0,0.8455,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",infrastructure realtime innovation leverage codes hence drive date faster cusses
107,3.0,0.6298,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",quantum threats experts intelligence understanding maintain respond processesthis continue managers
108,3.0,0.3602,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",premature finds reports stipulations arbitrage likewise fosters ran processesto declarations
109,1.0,0.3794,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",mix pandemic covid19 theme homes needs mean behaviours lockdown met
110,5.0,0.8963,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",inst sepa credit sct transfer council instant everyone days seconds
111,1.0,0.834,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",zelle rtp americans observations house offers president clearing utilise realtime
112,3.0,0.7675,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",activities risk frameworks certainty licensing identifying fourstep entities framework experiences
113,9.0,0.4678,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank create power constrain perspective explains understand monies play literature
114,7.0,0.6508,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",transformation origins evolution describes debate driver key geopolitical thing asset
115,0.0,0.5499,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",bank uncertainty psd2 initiation opens account fintech future gravity bankers
116,1.0,0.5599,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",epayments focuses governments arrangements utilises governance layering countrys place regulations
117,7.0,0.5368,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",advantages public briefly sweden india disadvantages crime interest examples explores
118,3.0,0.2787,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank bni multibanco retail segments brand specifics europa talks challenger
119,6.0,0.5647,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",platforms shift merchants comment become schemes reality device opinion plastic
120,0.0,0.5499,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",bank ecosystem proposes uses apis set constructs expansion barriers candidates
121,3.0,0.4355,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",framework describes faster realtime helpful formats momentum immediate message implement
122,6.0,0.2711,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",agenda instant decade sovereignty latter interoperability topic mechanisms fee drive
123,4.0,0.4934,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",fraud interventions transaction tools potential channels focuses mechanisms source history
124,2.0,0.46,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",asset risk bank framework discuss streams staff todays blockchain demands
125,1.0,0.8346,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",fmis forwardlooking conduct infrastructure bank pandemic monitor crisis stability highlights
126,2.0,0.3863,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",endeavours processes details asset experiences beset function fintech accesstotheaccount likewise
127,0.0,0.336,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",account insights bank holders create eu ways choices economics investors
128,6.0,0.6023,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",cashless adopt reluctance occupation category gender incentives income offers education
129,4.0,0.5518,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",sequences transaction codecash amount offers option clients losses device combat
130,5.0,0.7778,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",scheme psps sct euro realtime council testament schemes benefit mass
131,9.0,0.3774,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency pay create innovation maturity journey secure building decade means
132,9.0,0.4849,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank regulations psd2 ecosystem recognition insha solarisbank europethe unions concept
133,3.0,0.4112,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank infrastructure explores optimise regulator unlocking reasons involvement maintain examination
134,6.0,0.6251,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",merchants line propensity finds explores transactions persontoperson advance strategy informality
135,3.0,0.3792,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",card ie increase core modernisation domains transact enabling efforts collection
136,6.0,0.3255,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card surpass public propositions instant ground substitute latter barriers transaction
137,9.0,0.2297,"online, create, secure, explores, argues, eu, form, need, crime, trust",rulebook pix availability structure safety fee governance engagement usability participation
138,3.0,0.452,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank parameters ips style structures identifies technology turkey inhouse coordination
139,8.0,0.3935,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",transition habits card reserve segments conclusions consumption patterns population philadelphia
140,5.0,0.6328,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",vs euro innovation perspectives exception mind plan stay decades voice
141,6.0,0.3639,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",psps extension merchant clients ecommerce illustration simplify prospects share gauges
142,9.0,0.4187,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank cbdc privacy challenge publics broker mandates fulfilling guaranteeing regard
143,6.0,0.418,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",scheme turn epi card debit initiative sovereignty supplement millennium describes
144,7.0,0.3248,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",transaction fees explores source principles bank situation security legislator fosters
145,9.0,0.3305,"online, create, secure, explores, argues, eu, form, need, crime, trust",bill pay hence person profile making income bills online set
146,3.0,0.3856,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",bank correspondent situation risk relationships reserve dollar needs determine intervention
147,0.0,0.5121,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",device transaction capabilities bank offline cbdc wallet smartphone payer versa
148,9.0,0.3806,"online, create, secure, explores, argues, eu, form, need, crime, trust",players empowerment divide hold take phenomenon capitalthis impediments businesstobusiness standalone
149,1.0,0.6744,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",spring summer holdings autumn reserve everyone person amounts hurricanes unemployment
150,0.0,0.4481,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",euro currency bank report blueprint principles cbdc idea schemes initiative
151,3.0,0.593,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",infrastructure technology risk regions efforts processesto communication buyers sellers purposes
152,4.0,0.6414,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",losses frameworks attacks liability fraud guidance marketplace accordance globe governance
153,9.0,0.4849,"online, create, secure, explores, argues, eu, form, need, crime, trust",bank transformation secure roadmap players journey argues trust techs digital
154,6.0,0.4739,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",retailers platform peoples livelihoods technology step countrys journey modes cashless
155,7.0,0.68,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",innovation transformation policymakers explores waves gains consideration nature dynamics intervention
156,6.0,0.4231,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",june ecommerce collapse wirecard psp provider ran processesto declarations customs
157,7.0,0.4858,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",innovation smes retailers firm speed attention position leverage thirdparty mode
158,3.0,0.2787,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",fintech students solve pain peertopeer student safety persontobusinessuniversity education maps
159,9.0,0.5903,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency bank sovereign proposal preserve facebooks focuses china choices stablecoins
160,0.0,0.4739,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",apple proximity pay technology differences germany perception nonusers insights identify
161,9.0,0.2744,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency token overhaul schemes crossroads hundreds inches column crypto evaluate
162,0.0,0.635,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",wallet technology job indonesia combines predict subjective norms devise tam2
163,9.0,0.7655,"online, create, secure, explores, argues, eu, form, need, crime, trust",currency bank claims monies issuers addresses form compares facilitate provision
